iter	RMSE
0	0.2985603643
1	0.2962805808
2	0.2944032954
3	0.2934373913
4	0.2925770185
5	0.2907699045
6	0.2890547776
7	0.2876851637
8	0.2866173705
9	0.2858210632
10	0.2851903836
11	0.2851228182
12	0.2838403232
13	0.2838398615
14	0.2827382391
15	0.2823494976
16	0.2818781693
17	0.2809441636
18	0.2795879604
19	0.2786271082
20	0.2774900916
21	0.2771603308
22	0.2765085416
23	0.2754521891
24	0.2745524781
25	0.2737580887
26	0.2731773388
27	0.2719393743
28	0.2711404826
29	0.2702758079
30	0.2701451452
31	0.2689946731
32	0.2674668707
33	0.2663143363
34	0.2649877238
35	0.2649546431
36	0.2643854312
37	0.2643732366
38	0.2631235902
39	0.2625975036
40	0.2623779563
41	0.2622774155
42	0.2622756135
43	0.2617776772
44	0.2604820539
45	0.2601009903
46	0.2599949388
47	0.2592579801
48	0.2582454288
49	0.2577783869
50	0.2573614958
51	0.2563744183
52	0.2560886155
53	0.254785944
54	0.254386058
55	0.2538898502
56	0.2531103481
57	0.2521791411
58	0.2516388743
59	0.2508855945
60	0.2507945699
61	0.2501491854
62	0.2492956299
63	0.249098883
64	0.2488800799
65	0.2483932526
66	0.247863818
67	0.2471045131
68	0.2462448753
69	0.2453272396
70	0.2444033904
71	0.2438805608
72	0.2431288901
73	0.2428673697
74	0.2424499889
75	0.2421652223
76	0.2414387713
77	0.2413136904
78	0.2404127398
79	0.2399563478
80	0.2396504107
81	0.2392778879
82	0.2389680603
83	0.2380817345
84	0.2376845791
85	0.2369601884
86	0.236678147
87	0.2362611179
88	0.2355252969
89	0.2349984084
90	0.2340433337
91	0.2335464431
92	0.2329854695
93	0.2322952359
94	0.2315600565
95	0.23131004
96	0.2306265196
97	0.2301897348
98	0.2297293761
99	0.229546908
100	0.2289284477
101	0.227933189
102	0.2271881698
103	0.2265297132
104	0.225936001
105	0.2256217763
106	0.2255510953
107	0.2249836921
108	0.2241339407
109	0.2234037156
110	0.2224973866
111	0.2219457035
112	0.2218966988
113	0.2213412792
114	0.2210833817
115	0.2210390858
116	0.2204412096
117	0.2197913971
118	0.2191058523
119	0.2187404837
120	0.2187398434
121	0.2184715328
122	0.2180253699
123	0.2171705037
124	0.2168273629
125	0.2161170162
126	0.2154445067
127	0.2149368994
128	0.2139865913
129	0.2137544342
130	0.2130258023
131	0.2126259291
132	0.2120824697
133	0.2119705329
134	0.2115521758
135	0.2111597008
136	0.2107280027
137	0.210295067
138	0.2102284456
139	0.2099147931
140	0.2092354547
141	0.2085901096
142	0.2079864399
143	0.2077169993
144	0.207362709
145	0.2069258922
146	0.2067415288
147	0.2063345375
148	0.2057016289
149	0.2056119959
150	0.2050545656
151	0.204219758
152	0.203789883
153	0.2029837076
154	0.2025859257
155	0.20218809
156	0.201569288
157	0.2011491024
158	0.2004903062
159	0.1999629032
160	0.1990108266
161	0.1987292619
162	0.1985644052
163	0.197461508
164	0.1968463357
165	0.1965443969
166	0.1962780047
167	0.1960364392
168	0.1955136811
169	0.1948886245
170	0.1942603418
171	0.1941169278
172	0.1933112414
173	0.1928729375
174	0.1924052875
175	0.1919682796
176	0.1914948944
177	0.1911551496
178	0.1909194337
179	0.1905171207
180	0.1904105749
181	0.1902661946
182	0.1896662827
183	0.1893183127
184	0.1891841482
185	0.1889206022
186	0.188331517
187	0.1881562858
188	0.1879804494
189	0.1878476595
190	0.1874656277
191	0.187203515
192	0.1866249135
193	0.1862528058
194	0.1858366385
195	0.1850649618
196	0.1845191663
197	0.1838604303
198	0.1835105814
199	0.1832248304
200	0.1824676174
201	0.1822289834
202	0.1815898207
203	0.18133157
204	0.1811852169
205	0.1806025507
206	0.1803746314
207	0.1801010576
208	0.1797324266
209	0.1794739191
210	0.178970986
211	0.1784910154
212	0.1780186162
213	0.1778136917
214	0.1774303281
215	0.1770655306
216	0.1768772447
217	0.1766070394
218	0.1763748823
219	0.1760807459
220	0.1757145391
221	0.1755597143
222	0.1751973635
223	0.1745955012
224	0.1742017953
225	0.1739576945
226	0.1736818612
227	0.1730713515
228	0.1728957981
229	0.1726696218
230	0.1722355502
231	0.1719045583
232	0.1716803445
233	0.1712050408
234	0.1707931313
235	0.170551546
236	0.1699869505
237	0.1695237634
238	0.169283188
239	0.1683894884
240	0.1682442858
241	0.1678061938
242	0.167571722
243	0.1671907512
244	0.166879908
245	0.1666817497
246	0.1662397559
247	0.1659549604
248	0.1656443759
249	0.1654617455
250	0.1653898074
251	0.1650777704
252	0.1646100984
253	0.1641472175
254	0.1637993927
255	0.163409736
256	0.1630428313
257	0.1628475204
258	0.1625601367
259	0.1623741091
260	0.1621732326
261	0.161550897
262	0.1612237302
263	0.1608031472
264	0.1607131587
265	0.1605607207
