iter	Passed	Remaining
0	18	9007
1	36	9092
2	55	9150
3	74	9242
4	91	9058
5	108	8911
6	125	8838
7	141	8726
8	155	8478
9	164	8084
10	173	7706
11	178	7277
12	197	7392
13	200	6960
14	219	7084
15	232	7028
16	250	7106
17	268	7187
18	286	7247
19	306	7348
20	322	7361
21	341	7428
22	354	7356
23	373	7405
24	390	7425
25	403	7354
26	422	7394
27	441	7439
28	459	7469
29	479	7505
30	486	7361
31	504	7381
32	522	7400
33	542	7436
34	562	7475
35	570	7356
36	587	7356
37	592	7205
38	610	7216
39	627	7214
40	637	7136
41	647	7060
42	651	6921
43	668	6931
44	688	6956
45	705	6960
46	716	6903
47	732	6901
48	751	6915
49	766	6895
50	783	6900
51	801	6909
52	820	6921
53	839	6933
54	878	7106
55	942	7471
56	1013	7877
57	1080	8230
58	1120	8378
59	1185	8696
60	1220	8780
61	1285	9078
62	1348	9354
63	1387	9451
64	1421	9513
65	1477	9714
66	1539	9950
67	1605	10197
68	1672	10448
69	1739	10682
70	1783	10774
71	1830	10881
72	1876	10977
73	1919	11051
74	1960	11110
75	1988	11094
76	2020	11101
77	2059	11140
78	2093	11157
79	2120	11130
80	2142	11082
81	2160	11014
82	2176	10936
83	2192	10860
84	2204	10764
85	2220	10687
86	2236	10616
87	2253	10552
88	2270	10486
89	2286	10416
90	2302	10348
91	2319	10285
92	2335	10220
93	2351	10157
94	2368	10095
95	2381	10022
96	2398	9966
97	2415	9906
98	2432	9852
99	2443	9774
100	2461	9723
101	2478	9671
102	2499	9634
103	2517	9586
104	2536	9543
105	2551	9485
106	2563	9416
107	2581	9368
108	2599	9324
109	2617	9280
110	2633	9230
111	2650	9183
112	2658	9104
113	2675	9058
114	2691	9011
115	2698	8934
116	2715	8890
117	2732	8844
118	2748	8798
119	2765	8755
120	2767	8668
121	2774	8596
122	2790	8552
123	2806	8511
124	2825	8475
125	2842	8436
126	2859	8398
127	2876	8360
128	2893	8320
129	2909	8280
130	2925	8241
131	2942	8202
132	2959	8167
133	2967	8105
134	2983	8066
135	3002	8036
136	3020	8002
137	3037	7969
138	3047	7913
139	3064	7879
140	3082	7848
141	3101	7820
142	3119	7787
143	3137	7756
144	3155	7726
145	3174	7696
146	3191	7663
147	3209	7633
148	3227	7603
149	3233	7545
150	3251	7514
151	3270	7488
152	3288	7457
153	3305	7427
154	3324	7400
155	3342	7370
156	3360	7341
157	3378	7313
158	3396	7284
159	3414	7256
160	3432	7228
161	3449	7198
162	3467	7169
163	3486	7142
164	3503	7113
165	3522	7086
166	3540	7059
167	3558	7031
168	3575	7003
169	3594	6976
170	3611	6948
171	3629	6920
172	3646	6893
173	3665	6866
174	3682	6839
175	3700	6812
176	3721	6790
177	3739	6764
178	3757	6739
179	3776	6713
180	3793	6686
181	3812	6661
182	3829	6633
183	3846	6605
184	3862	6575
185	3878	6548
186	3895	6519
187	3911	6491
188	3927	6462
189	3943	6434
190	3962	6409
191	3978	6382
192	3994	6354
193	4012	6328
194	4028	6300
195	4044	6273
196	4061	6246
197	4077	6218
198	4094	6193
199	4111	6167
200	4127	6139
201	4144	6113
202	4164	6093
203	4182	6068
204	4200	6044
205	4217	6019
206	4237	5997
207	4255	5973
208	4273	5949
209	4289	5924
210	4306	5899
211	4322	5872
212	4339	5847
213	4355	5820
214	4372	5796
215	4389	5770
216	4405	5745
217	4422	5720
218	4438	5694
219	4455	5670
220	4471	5644
221	4487	5619
222	4504	5595
223	4521	5571
224	4537	5546
225	4554	5521
226	4571	5497
227	4587	5473
228	4604	5449
229	4620	5424
230	4636	5399
231	4653	5376
232	4673	5355
233	4691	5332
234	4709	5310
235	4727	5288
236	4744	5265
237	4763	5243
238	4780	5220
239	4799	5199
240	4817	5177
241	4835	5155
242	4854	5134
243	4872	5111
244	4889	5089
245	4907	5067
246	4925	5045
247	4944	5024
248	4961	5001
249	4980	4980
250	4997	4957
251	5015	4935
252	5033	4914
253	5051	4892
254	5069	4870
255	5089	4851
256	5107	4829
257	5124	4806
258	5143	4785
259	5160	4763
260	5178	4741
261	5196	4720
262	5213	4698
263	5232	4677
264	5251	4656
265	5268	4634
266	5286	4613
267	5303	4591
268	5373	4614
269	5435	4630
270	5493	4642
271	5551	4653
272	5600	4656
273	5639	4651
274	5679	4647
275	5719	4641
276	5760	4637
277	5806	4636
278	5845	4630
279	5887	4625
280	5926	4618
281	5954	4603
282	5977	4583
283	5999	4562
284	6021	4542
285	6043	4522
286	6065	4501
287	6088	4481
288	6110	4461
289	6132	4440
290	6152	4418
291	6172	4396
292	6191	4374
293	6209	4350
294	6226	4327
295	6243	4303
296	6260	4279
297	6277	4255
298	6293	4230
299	6309	4206
300	6326	4182
301	6344	4159
302	6364	4138
303	6383	4115
304	6400	4092
305	6417	4068
306	6436	4046
307	6454	4023
308	6471	4000
309	6488	3976
310	6506	3954
311	6522	3930
312	6539	3906
313	6555	3883
314	6571	3859
315	6588	3836
316	6604	3812
317	6621	3789
318	6637	3766
319	6655	3743
320	6671	3720
321	6688	3697
322	6705	3674
323	6721	3650
324	6737	3628
325	6754	3605
326	6770	3582
327	6788	3560
328	6805	3537
329	6821	3514
330	6838	3491
331	6859	3470
332	6877	3449
333	6895	3426
334	6912	3404
335	6932	3383
336	6950	3361
337	6968	3339
338	6986	3318
339	7004	3296
340	7022	3274
341	7040	3252
342	7058	3230
343	7077	3209
344	7095	3187
345	7113	3165
346	7130	3144
347	7148	3122
348	7166	3100
349	7185	3079
350	7201	3057
351	7221	3036
352	7238	3014
353	7256	2992
354	7273	2970
355	7291	2949
356	7309	2928
357	7327	2906
358	7345	2884
359	7363	2863
360	7382	2842
361	7399	2820
362	7417	2799
363	7435	2777
364	7452	2756
365	7470	2735
366	7489	2714
367	7507	2692
368	7524	2671
369	7542	2649
370	7560	2629
371	7578	2607
372	7596	2586
373	7613	2565
374	7632	2544
375	7680	2532
376	7698	2511
377	7716	2490
378	7732	2468
379	7748	2446
380	7765	2425
381	7783	2404
382	7800	2383
383	7817	2361
384	7832	2339
385	7849	2318
386	7866	2296
387	7882	2275
388	7899	2254
389	7917	2233
390	7934	2211
391	7951	2190
392	7967	2169
393	7983	2147
394	8000	2126
395	8016	2105
396	8032	2084
397	8050	2063
398	8067	2042
399	8090	2022
400	8116	2003
401	8133	1982
402	8154	1962
403	8172	1941
404	8190	1921
405	8209	1900
406	8226	1879
407	8239	1857
408	8257	1837
409	8274	1816
410	8291	1795
411	8308	1774
412	8324	1753
413	8341	1732
414	8359	1712
415	8375	1691
416	8392	1670
417	8408	1649
418	8424	1628
419	8441	1607
420	8458	1587
421	8474	1566
422	8492	1545
423	8509	1525
424	8524	1504
425	8541	1483
426	8558	1463
427	8574	1442
428	8590	1421
429	8607	1401
430	8624	1380
431	8643	1360
432	8660	1340
433	8677	1319
434	8696	1299
435	8714	1279
436	8732	1258
437	8751	1238
438	8769	1218
439	8788	1198
440	8806	1178
441	8824	1157
442	8842	1137
443	8860	1117
444	8878	1097
445	8896	1077
446	8915	1057
447	8936	1037
448	8953	1016
449	8971	996
450	8989	976
451	9007	956
452	9024	936
453	9044	916
454	9062	896
455	9079	876
456	9098	856
457	9115	835
458	9133	815
459	9151	795
460	9169	775
461	9186	755
462	9205	735
463	9223	715
464	9240	695
465	9258	675
466	9276	655
467	9295	635
468	9313	615
469	9332	595
470	9349	575
471	9367	555
472	9384	535
473	9403	515
474	9420	495
475	9439	475
476	9456	455
477	9474	436
478	9491	416
479	9507	396
480	9523	376
481	9540	356
482	9557	336
483	9574	316
484	9590	296
485	9607	276
486	9624	256
487	9641	237
488	9657	217
489	9673	197
490	9690	177
491	9706	157
492	9723	138
493	9739	118
494	9756	98
495	9773	78
496	9790	59
497	9807	39
498	9823	19
499	9840	0
